建案編號,建案名稱,縣市	行政區,Unnamed: 3,地址,總戶數,樓層,產品類型,使用分區/用途,門牌號,格局,其他用途名稱,成交時間,基地面積,建蔽率,容積率,車位配比,停車規劃,充電樁,管理費,結構工程,土地分區,標籤,朝向規劃,建案介紹,公共設施,備註,交通,周邊環境
29042,峰暉石尚,,,新北市林口區竹林路31號,18,地上9層,,華廈,,"一房(6.8~14.79坪),二房(55.35坪),三房(55.35~58.65坪),四房(58.65坪)",住家用,,0,39.73%,,,,,無管理費,RC造,住宅區,,,,,,,
28921,永翊花園,,,新北市林口區文化二路一段260巷16號,,地上11層,,住宅大樓,,"一房(10.86~23.12坪),二房(33.07~37.61坪),三房(29.11~39.03坪),四房(31.99~60坪),五房(50.61坪)",住家用,,0,,23.37%,,,,無管理費,RC造,住宅區,,朝西南、朝東北,,,,,
28955,景第大廈,,,新北市林口區中山路285號,42,地上11層,,住宅大樓,,"三房(28.96~57.92坪),四房(57.92坪)",住家用,,955坪,,,,,,無管理費,RC造、其他,住宅區,,朝西北,,,,,
5917315,自由文林,,,新北市林口區文林六街21號,17,"地上9層,地下1層",,華廈,,二房(25~26坪),住商用,,154坪,47.85%,30%,1:0.94,,,無管理費,RC造,第二種住宅區,,朝東南,櫻花IH爐、櫻花抽油煙機、櫻花烘碗機，衛浴：和成，五金：和成,"['接待大廳', '閱覽室', '信箱區', '曬被區']",,A9林口站,
5874345,誠實林口興林別墅,,,新北市林口區興林路338巷,2,地上4層,預售屋,別墅,,,住家用,,98坪,40%,,,,,無管理費,SC造,住宅區,,朝南,"鋼構+KMEW外牆採以下工法:
1.使用耐震 SN 490 B的方型鋼構材為柱、H 型鋼構材為樑。
2.誠實採用工法乃是日本已使用 40 幾年的重鋼構工法。
3.管線可高比例明管化。
4.屋頂板結構體完成後 48 hrs 試水。防水層 96 hrs 試水。
5.双層外牆工法(使用日本 Panasonic Kmew 外壁材)，外牆以乾式外牆工法掛件的方式施工，不只防水隔熱、重量輕不會因地震而龜裂。",['無公設'],,,
5951067,樂元素_樂原墅,,,新北市林口區仁愛路一段,14,"地上4層,地下1層",預售屋,透天,,,住家用,,583坪,39.99%,,,,,無管理費,RC造,住宅區,,朝北、朝西、朝東,依現場為主,['中庭花園'],,暫無,
5988020,青澄觀邸,,,新北市林口區仁愛路一段39巷22號,5,"地上4層,地下1層",新成屋,別墅,,,住家用,,262坪,36.92%,,,,,無管理費,RC造,住宅區,,朝南,PHILIPS電子鎖、錦鋐氣密窗、大津電梯,['無公設'],,暫無,
26151,品竣靜悅,,,新北市林口區三民路112巷8號,7,地上7層,,華廈,,二房(74.78坪),見其他登記事項,,0,52.89%,,,,,3500元/戶/月,RC造,住宅區,,朝西南,,,,,
26132,德馨居,,,新北市林口區民族路276號,43,地上11層,,住宅大樓,,"三房(34.54~56.07坪),四房(47.38~47.52坪)",住家用,,0,42.41%,,,,,無管理費,RC造,住宅區,,朝西北,,,,,
26156,冠富林五期,,,新北市林口區四維路245巷26號,14,地上7層,,華廈,,"三房(28坪),四房(56坪)",見其他登記事項,,0,46.94%,,,,,無管理費,RC造,住宅區,,,,,,,
29062,藏御,,,新北市林口區忠孝路512巷15號,19,地上3層,,透天,,"四房(111.55坪),五房(85.16~112.26坪)",見其他登記事項,,774坪,39.98%,28.11%,,,,無管理費,RC造、其他,住宅區,,朝西北,,,,,
26288,藏悅,,,新北市林口區文化一路一段15巷8號,18,"地上10層,地下2層",,華廈,,"三房(62.34~62.37坪),四房(62.26~62.37坪)",見其他登記事項,,"1,010坪",36.35%,31~33%,,,,55元/戶/月,RC造,第二種住宅區,,朝東、朝東北、朝東南,,"['接待大廳', '中庭花園', '空中花園', '會議室', '健身房']",,,
26107,赫世堡劍橋,,,新北市林口區臺北縣林口鄉南勢六街81巷16號,20,地上7層,,華廈,,"三房(38.71~73.84坪),四房(61.04~88.3坪)",住家用,,0,42.65%,,,,,無管理費,RC造,住宅區,,朝西南,,,,,
26055,帝堡,,,新北市林口區東湖路105巷9號,10,地上3層,,透天,,,見其他登記事項,,0,,1.35%,,,,無管理費,RC造、其他,住宅區,,朝東南、朝西南,,,,,
33398,中山源品,,,新北市林口區中山路81巷1號,14,"地上7層,地下1層",,華廈,,"二房(30.53坪),三房(32~42坪)",住商用,,105坪,58.21%,26.9%,1:0.93,,,50元/坪/月,RC造,商業區,,朝西南,進口磁磚廚具,"['接待大廳', '交誼廳', '信箱區', '曬被區']",,機場捷運，A9站,
26010,光印,,,新北市林口區文化二路一段20巷57號,43,地上12層,,住宅大樓,,"一房(26.07~26.08坪),二房(26.01~35.06坪),三房(28.86~42.2坪)",住家用,,0,39.82%,27.94%,,,,1831元/戶/月,RC造,住宅區,,朝東北,,,,,
5873634,呈冠四季,,,新北市林口區文化三路一段636號,98,"地上14層,地下3層",預售屋,住宅大樓,,,住家用,,300坪,66%,33%,1:0.5,,,無管理費,,,,,,['接待大廳'],,,
26160,文化園邸,,,新北市林口區文化北路一段542巷13弄53號,18,地上4層,,透天,,"四房(26.15~79.48坪),五房(78.43坪)",見其他登記事項,,656坪,48.84%,,,,,51109.5元/戶/月,RC造、其他,住宅區,,朝東南,,,,,
11526,廉永翔品,,,新北市林口區文林一街12巷13號,16,"地上9層,地下2層",,華廈,,"三房(41.86~87.79坪),五房(64.17坪)",住商用,,241坪,43.27%,29.00%,1:1.6,,,無管理費,RC造,第二種住宅區,,朝東北,,,,,
